method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,11.7331,24.6277,31.3476,0.235772,0.252885,0.271642,14514
attn_L1_r10_trad,1.7636,4.3531,6.2768,0.040892,0.045346,0.050937,14514
attn_L1_r10_weighted,1.7636,4.3531,6.2768,0.040892,0.045346,0.050937,14514
attn_L1_r20_trad,3.1207,7.3609,10.0165,0.068244,0.076132,0.083953,14514
attn_L1_r20_weighted,3.1207,7.3609,10.0165,0.068244,0.076132,0.083953,14514
attn_L1_r30_trad,4.4921,10.7813,14.5613,0.096149,0.109139,0.120223,14514
attn_L1_r30_weighted,4.4921,10.7813,14.5613,0.096149,0.109139,0.120223,14514
attn_L1_r40_trad,5.9765,13.8573,18.5072,0.124879,0.140077,0.153884,14514
attn_L1_r40_weighted,5.9765,13.8573,18.5072,0.124879,0.140077,0.153884,14514
attn_L1_r50_trad,7.1396,16.5297,21.7243,0.149683,0.166351,0.181537,14514
attn_L1_r50_weighted,7.1396,16.5297,21.7243,0.149683,0.166351,0.181537,14514
attn_L1_r60_trad,8.3879,18.4651,24.2074,0.170663,0.187317,0.203953,14514
attn_L1_r60_weighted,8.3879,18.4651,24.2074,0.170663,0.187317,0.203953,14514
attn_L1_r70_trad,9.3327,20.1945,25.992,0.188335,0.204882,0.221407,14514
attn_L1_r70_weighted,9.3327,20.1945,25.992,0.188335,0.204882,0.221407,14514
attn_L1_r80_trad,10.2143,21.5752,27.5929,0.203321,0.219265,0.236623,14514
attn_L1_r80_weighted,10.2143,21.5752,27.5929,0.203321,0.219265,0.236623,14514
attn_L1_r90_trad,10.9919,22.8481,29.2966,0.219133,0.234361,0.252646,14514
attn_L1_r90_weighted,10.9919,22.8481,29.2966,0.219133,0.234359,0.252643,14514
attn_L2_r10_trad,1.7636,4.3531,6.2768,0.040892,0.045346,0.050937,14514
attn_L2_r10_weighted,1.7636,4.3531,6.2768,0.040892,0.045346,0.050937,14514
attn_L2_r20_trad,3.1207,7.3609,10.0165,0.068244,0.076132,0.083953,14514
attn_L2_r20_weighted,3.1207,7.3609,10.0165,0.068244,0.076132,0.083953,14514
attn_L2_r30_trad,4.4921,10.7813,14.5613,0.096149,0.109139,0.120223,14514
attn_L2_r30_weighted,4.4921,10.7813,14.5613,0.096149,0.109139,0.120223,14514
attn_L2_r40_trad,5.9765,13.8573,18.5072,0.124879,0.140077,0.153884,14514
attn_L2_r40_weighted,5.9765,13.8573,18.5072,0.124879,0.140077,0.153884,14514
attn_L2_r50_trad,7.1396,16.5297,21.7243,0.149683,0.166351,0.181537,14514
attn_L2_r50_weighted,7.1396,16.5297,21.7243,0.149683,0.166351,0.181537,14514
attn_L2_r60_trad,8.3879,18.4651,24.2074,0.170663,0.187317,0.203953,14514
attn_L2_r60_weighted,8.3879,18.4651,24.2074,0.170663,0.187317,0.203953,14514
attn_L2_r70_trad,9.3327,20.1945,25.992,0.188335,0.204882,0.221407,14514
attn_L2_r70_weighted,9.3327,20.1945,25.992,0.188335,0.204882,0.221407,14514
attn_L2_r80_trad,10.2143,21.5752,27.5929,0.203321,0.219265,0.236623,14514
attn_L2_r80_weighted,10.2143,21.5752,27.5929,0.203321,0.219265,0.236623,14514
attn_L2_r90_trad,10.9919,22.8481,29.2966,0.219133,0.234361,0.252646,14514
attn_L2_r90_weighted,10.9919,22.8481,29.2966,0.219133,0.234359,0.252643,14514
attn_L4_r10_trad,1.7636,4.3531,6.2768,0.040892,0.045346,0.050937,14514
attn_L4_r10_weighted,1.7636,4.3531,6.2768,0.040892,0.045346,0.050937,14514
attn_L4_r20_trad,3.1207,7.3609,10.0165,0.068244,0.076132,0.083953,14514
attn_L4_r20_weighted,3.1207,7.3609,10.0165,0.068244,0.076132,0.083953,14514
attn_L4_r30_trad,4.4921,10.7813,14.5613,0.096149,0.109139,0.120223,14514
attn_L4_r30_weighted,4.4921,10.7813,14.5613,0.096149,0.109139,0.120223,14514
attn_L4_r40_trad,5.9765,13.8573,18.5072,0.124879,0.140077,0.153884,14514
attn_L4_r40_weighted,5.9765,13.8573,18.5072,0.124879,0.140077,0.153884,14514
attn_L4_r50_trad,7.1396,16.5297,21.7243,0.149683,0.166351,0.181537,14514
attn_L4_r50_weighted,7.1396,16.5297,21.7243,0.149683,0.166351,0.181537,14514
