method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,11.7331,24.6277,31.3476,0.235772,0.252885,0.271642,14514
hier_r10,2.9296,7.6554,10.6896,0.062354,0.073795,0.083381,14514
hier_r20,5.4652,12.9278,17.2271,0.110755,0.127555,0.140574,14514
hier_r30,7.0467,15.8261,20.4643,0.143792,0.158836,0.172279,14514
hier_r40,7.9948,17.471,22.5193,0.161671,0.176537,0.190923,14514
hier_r50,8.7188,18.7168,24.0344,0.174108,0.189141,0.204564,14514
hier_r60,9.4576,19.8419,25.4619,0.187474,0.202255,0.218009,14514
hier_r70,10.132,21.051,26.9521,0.201047,0.215874,0.232519,14514
hier_r80,10.6905,22.2001,28.443,0.214104,0.227919,0.245362,14514
hier_r90,11.2651,23.4113,29.9986,0.225369,0.240308,0.259,14514
