method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
L4_normpre_r10_trad,3.048,7.0353,9.5632,0.062457,0.070657,0.078361,14514
L4_normpre_r10_weighted,3.5689,9.252,12.9654,0.076719,0.088706,0.100594,14514
L4_normpre_r20_trad,3.875,8.9715,11.983,0.080922,0.091038,0.099694,14514
L4_normpre_r20_weighted,6.3058,14.81,19.6107,0.128876,0.146366,0.160657,14514
L4_normpre_r30_trad,4.6468,10.8816,14.4918,0.095391,0.108711,0.11922,14514
L4_normpre_r30_weighted,7.5898,17.1758,22.4247,0.154609,0.171538,0.18701,14514
L4_normpre_r40_trad,5.6656,12.946,17.0368,0.116612,0.130288,0.142177,14514
L4_normpre_r40_weighted,8.4463,18.7442,24.4035,0.169595,0.187577,0.204346,14514
L4_normpre_r50_trad,6.7754,15.3065,20.1443,0.136523,0.153428,0.167827,14514
L4_normpre_r50_weighted,8.8332,19.6073,25.2772,0.177208,0.196486,0.213051,14514
L4_normpre_r60_trad,7.7796,16.9547,22.233,0.156297,0.171549,0.187061,14514
L4_normpre_r60_weighted,9.2486,19.8349,25.4561,0.184443,0.200578,0.21675,14514
L4_normpre_r70_trad,8.4496,18.3118,23.7541,0.170249,0.185132,0.200734,14514
L4_normpre_r70_weighted,9.2755,20.0087,25.7775,0.1862,0.202304,0.218807,14514
L4_normpre_r80_trad,8.8632,19.2931,24.9587,0.177002,0.194314,0.210938,14514
L4_normpre_r80_weighted,9.2136,20.1656,25.8596,0.184305,0.202926,0.219182,14514
L4_normpre_r90_trad,9.3227,20.1148,26.108,0.187199,0.203759,0.221105,14514
L4_normpre_r90_weighted,9.4122,20.2731,26.3461,0.188611,0.205577,0.223128,14514
L4_normpost_r10_trad,2.6928,6.4142,8.7034,0.055739,0.063733,0.070724,14514
L4_normpost_r10_weighted,3.8832,10.0941,13.9588,0.083471,0.096745,0.108832,14514
L4_normpost_r20_trad,3.7505,8.5523,11.5104,0.077339,0.086786,0.095412,14514
L4_normpost_r20_weighted,6.5888,15.4673,20.2781,0.135111,0.153532,0.167662,14514
