method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,11.7331,24.6277,31.3476,0.235772,0.252885,0.271642,14514
rand_r10,5.5253,13.6008,18.2557,0.117335,0.134812,0.148808,14514
rand_r20,8.1476,18.1597,23.9614,0.166563,0.183713,0.200757,14514
rand_r30,9.2695,20.5592,26.6137,0.187199,0.206889,0.22476,14514
rand_r40,10.1263,21.8546,28.2181,0.20308,0.222578,0.240622,14514
rand_r50,10.6129,22.9632,29.4363,0.213931,0.233428,0.251867,14514
rand_r60,11.0301,23.3494,29.7792,0.219512,0.238791,0.256809,14514
rand_r70,11.0813,23.6335,30.2854,0.22275,0.241258,0.260227,14514
rand_r80,11.3827,24.0318,30.8532,0.228814,0.246393,0.265353,14514
rand_r90,11.6096,24.3531,31.0458,0.23343,0.250363,0.268907,14514
