method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,11.7331,24.6277,31.3476,0.235772,0.252885,0.271642,14514
kmeans_r10,6.8266,16.6282,21.964,0.142139,0.163514,0.17948,14514
kmeans_r20,9.2878,20.2915,26.0883,0.185889,0.204775,0.221294,14514
kmeans_r30,9.8106,21.6057,27.8834,0.198188,0.218133,0.235883,14514
kmeans_r40,10.3191,22.1915,28.6732,0.205836,0.225912,0.244336,14514
kmeans_r50,10.7821,22.9766,29.4491,0.216756,0.234639,0.252919,14514
kmeans_r60,10.9956,23.3325,29.918,0.222303,0.238791,0.25732,14514
kmeans_r70,11.2206,23.6378,30.544,0.224611,0.242227,0.261827,14514
kmeans_r80,11.4368,24.1256,30.8843,0.231328,0.247233,0.266006,14514
kmeans_r90,11.5519,24.3257,31.1714,0.2325,0.249585,0.268921,14514
